Substance,Genotoxicity
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",Not determined
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",Not determined
"(1R,2S,5R)N,N-Dimethyl menthyl succinamide",Not determined
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",Not determined
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",Negative
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",Negative
"(1R,2S,5R)-N-Cyclopropyl-5-methyl-2-isopropyl cyclohexanecarboxamide",Not determined
"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",Negative
"(1R,2S,5S)-3-Menthoxy-2-methylpropane-1,2-diol",Negative
"(1R,2S,5S)-neo-Dihydrocarveol",Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",Not determined
"(1R,2S,5S)-neo-Dihydrocarveol",Negative
"(1R,2S,5S)-neo-Dihydrocarveol",Negative
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",Negative
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",Negative
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",Negative
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",Not determined
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",Not determined
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",Not determined
"(1R,4S,6S)-2-Oxabicyclo[2.2.2]octan-6-ol, 1,3,3-trimethyl-, 6-acetate",Not determined
(2-Amino-6-cyclopropyl-pyrimidin-4-yl)-methanol,Negative
(2E)-2-Nonenyl acetate,Ambiguous
(2E)-2-Nonenyl acetate,Negative
(2E)-2-Nonenyl acetate,Negative
(2E)-3-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propen-1-ol,Negative
(2E)-4-Dimethylpent-2-enoic acid,Negative
(2E)-4-Dimethylpent-2-enoic acid,Negative
(2E)-Geranyl phenylacetate,Negative
(2E)-Geranyl phenylacetate,Negative
(2E)-Methylcrotonic acid,Negative
(2E)-Methylcrotonic acid,Negative
(2E)-Methylcrotonic acid,Not determined
"(2E, 13Z)-Octadecadien-1-yl Acetate",Negative
"(2E,7R,11R)-Phytol",Negative
"(2E,7R,11R)-Phytol",Not determined
"(2E,7R,11R)-Phytyl acetate",Negative
"(2E,7R,11R)-Phytyl acetate",Not determined
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",Negative
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",Negative
"(2R,3S,4S,5R)-2,3,4,5,6-Pentahydroxy-N-(2-hydroxyethyl)hexanamide",Negative
(2RS)- 2-[(dimethoxyphosphorothioyl)sulfanyl]-4-ethoxy-4-oxobutanoic acid,Negative
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",Not determined
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",Negative
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",Negative
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",No data
(3S)-Rhodinyl phenylacetate,Not determined
(3S)-Rhodinyl phenylacetate,Not determined
"(3S,6Z)-Nerolidyl acetate",Negative
"(3S,6Z)-Nerolidyl acetate",Negative
"(3S,6Z)-Nerolidyl acetate",Negative
"(3S,6Z)-Nerolidyl acetate",Negative
(3Z)-Hexenyl heptanoate,Negative
(3Z)-Hexenyl heptanoate,Negative
(3Z)-Hexenyl heptanoate,Negative
(3Z)-Hexenyl heptanoate,Negative
(3Z)-Hexenyl heptanoate,Negative
(3Z)-Hexenyl methyl carbonate,Negative
(3Z)-Hexenyl methyl carbonate,Negative
(3Z)-Hexenyl methyl carbonate,Negative
(3Z)-Hexenyl methyl carbonate,Negative
(3Z)-Hexenyl methyl carbonate,Negative
(3Z)-Nonen-1-ol,Negative
(3Z)-Nonen-1-ol,Negative
(3Z)-Nonen-1-ol,Negative
(3Z)-Nonen-1-ol,Negative
(4-Chloro-phenyl)-prop-2-ynyloxy-acetic acid,Not determined
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",Not determined
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",Not determined
"(4R,4aS,6R,8aS)-1,10-Dihydronootkatone",Not determined
"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",Not determined
"(4R,6S)-2,4,6-trimethyl-1,3,5-dithiazinane",Not determined
(4Z)-Hepten-1-ol,Negative
(4Z)-Hepten-1-ol,Not determined
"(5-Chloro-2-methoxy-4-methyl-3-pyridinyl)(2,3-dihydroxy-4-methoxy-6-methylphenyl)methanone",Negative
(5S)-3-benzyl-5-methylfuran-2(5H)-one,Not determined
(5Z)-Decenal,Negative
(5Z)-Decenal,Negative
(5Z)-Decenal,Negative
(5Z)-Decenal,Negative
(5Z)-Octenylpropionate,Negative
(5Z)-Octenylpropionate,Not determined
"(6E,10E)-Geranyl linalool",Negative
"(6E,10E)-Geranyl linalool",Negative
"(6E,10E)-Geranyl linalool",Negative
"(6E,10E)-Geranyl linalool",Negative
"(6S)-5-Methyltetrahydrofolic acid, glucosamine salt",Negative
"(7-Amino-5-ethyl[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)acetic acid",Negative
"(7E, 9Z)-Dodecadien-1-yl Acetate",Negative
"(7E, 9Z)-Dodecadienyl Acetate and (7E, 9E)-Dodecadienyl Acetate mixture",Negative
"(7Z, 11E)-Hexadecadien-1-yl Acetate",Negative
"(7Z, 11Z)-Hexadecadien-1-yl acetate and (7Z, 11E)-Hexadecadien-1-yl acetate mixture",Negative
"(8,9-Z)-isomer of avermectin B1a",Negative
"(8,9-Z)-isomer of avermectin B1a",Negative
"(9Z, 12E)-Tetradecadien-1-yl acetate",Negative
(Diethoxymethyl)benzene,Negative
(Diethoxymethyl)benzene,Negative
(Diethoxymethyl)benzene,Negative
(Diethoxymethyl)benzene,Negative
(Diethoxymethyl)benzene,Negative
(E)-11-Tetradecenyl Acetate,Negative
(E)-2-Methyl-1-methylthio-2-butene,Not determined
(E)-2-Methyl-1-methylthio-2-butene,Not determined
(E)-2-Methyl-1-methylthio-2-butene,Negative
(E)-2-Octenoic acid,Not determined
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",Negative
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",No data
"(E)-3,7-Dimethylocta-1,5,7-trien-3-ol",Negative
"(E)-3-benzo[1,3]dioxol-5-yl-N,N-diphenyl-2-propenamide",Negative
(E)-8-Dodecenyl Acetate,Negative
(E)-Ethyl dec-2-enoate,Not determined
(E)-Ethyl furfuracrylate,Negative
(E)-Ethyl furfuracrylate,Negative
(E)-Ethyl furfuracrylate,Negative
(E)-Geranyl valerate,Negative
(E)-Geranyl valerate,Not determined
(E)-Geranylacetone,Negative
(E)-Geranylacetone,Not determined
(E)-Geranylacetone,Not determined
(E)-Geranylacetone,Negative
(E)-Hexyl 2-hexenoate,Not determined
(E)-pent-2-enoic acid,Not determined
"(E,E)-3,5-Octadien-2-one",Negative
"(E,E)-3,5-Octadien-2-one",Not determined
"(E,E)-3,5-Octadien-2-one",Not determined
"(E,E)-3,5-Octadien-2-one",Negative
"(E,E)-8,10-Dodecadien-1-ol",Negative
"(E,E)-8,10-Dodecadien-1-ol",Negative
"(E,E)-Geranyl 2-methylcrotonate",Negative
"(E,E)-Geranyl 2-methylcrotonate",Not determined
"(E,E)-Hexa-2,4-dienoic acid",Not determined
"(E,E)-Hexa-2,4-dienoic acid",Negative
"(E,E)-Hexa-2,4-dienoic acid",No data
"(E,E)-Hexa-2,4-dienoic acid",Negative
"(E,E)-Hexa-2,4-dienoic acid",Negative
"(E,E)-Hexa-2,4-dienoic acid",Negative
"(E,E)-piperidine",Negative
"(E,E)-piperidine",Negative
"(E,E)-piperidine",Negative
"(E,Z)-2,6-Nonadienyl acetate",Ambiguous
"(E,Z)-2,6-Nonadienyl acetate",Negative
"(E,Z)-2,6-Nonadienyl acetate",Negative
"(E,Z)-3,6-Nonadien-1-ol",Negative
"(E,Z)-3,6-Nonadien-1-ol",Not determined
"(E,Z)-3,6-Nonadien-1-ol",Negative
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,Negative
"(E;Z)-3,6-Nonadien-1-ol, acetate",Negative
"(E;Z)-3,6-Nonadien-1-ol, acetate",Negative
"(E;Z)-3,6-Nonadien-1-ol, acetate",Negative
(l)-Alpha-bisabolol,Negative
(l)-Alpha-bisabolol,Negative
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",No data
(R)-(-)-Lavandulol,Negative
(R)-(-)-Lavandulol,Negative
(R)-(-)-Lavandulol,Negative
(R)-(-)-Lavandulol,Negative
(R)-(-)-Lavandulol,Negative
(R)-(+)-Menthofuran,Not determined
(R)-(+)-Pulegone,Not determined
(R)-(+)-Sclareolide,Negative
(R)-(+)-Sclareolide,Negative
"(R)-N,N-Dimethylphenethylamine",Not determined
"(R)-N,N-Dimethylphenethylamine",Negative
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate",Negative
"(RS)-2,4-dinitro-6-(octan-2-yl)phenyl (2 E/Z)-but-2-enoate preparation (GF1478)",No data
"(S)-1-(3-(((4-amino-2,2-dioxido-1H-benzo[c][1,2,6]thiadiazin-5-yl)oxy)methyl)piperidin-1- yl)-3-methylbutan-1-one",Negative
(S)-1-Methoxy-3-heptanethiol,Not determined
(S)-1-Methoxy-3-heptanethiol,Not determined
(S)-1-Methoxy-3-heptanethiol,Negative
"(S)-2,5-dimethyl-3-thiofuroylfuran",Not determined
"(S)-2,5-dimethyl-3-thiofuroylfuran",Not determined
(S)-campholenyl acetate,Not determined
(S)-campholenyl acetate,Not determined
(S)-campholenyl acetate,Not determined
(S)-campholenyl acetate,No data
(S)-Methyl lactate,Negative
(S)-Methyl lactate,Negative
(S)-Methyl lactate,Not determined
(S)-Methyl lactate,Not determined
(S)-Methyl octanethioate,Not determined
(S)-Methyl octanethioate,Not determined
(S)-Methyl octanethioate,Not determined
(S)-Methyl octanethioate,Not determined
(S)-Methyl octanethioate,Not determined
(S)-Terpinyl cinnamate,Not determined
(tetrahydrofuryl)methyl phenylacetate,Not determined
(Z)-11-Hexadecen-1-ol,Negative
(Z)-11-Hexadecen-1-yl Acetate,Negative
(Z)-11-Hexadecenal,No data
(Z)-11-Hexadecenal and (Z)-11-Hexadecen-1-yl acetate mixture,No data
(Z)-11-Tetradecenyl Acetate,Negative
(Z)-13-Octadecenal,No data
(Z)-4-Hepten-2-ol,Negative
(Z)-4-Hepten-2-ol,Negative
(Z)-4-Hepten-2-ol,Negative
(Z)-4-Hepten-2-ol,Negative
(Z)-4-Hepten-2-yl butyrate,Negative
(Z)-4-Hepten-2-yl butyrate,Negative
(Z)-4-Hepten-2-yl butyrate,Negative
(Z)-4-Hepten-2-yl butyrate,Negative
(Z)-4-Hepten-2-yl butyrate,Negative
(Z)-4-Hepten-2-yl butyrate,Negative
(Z)-5-Octen-2-one,Negative
(Z)-5-Octen-2-one,Negative
(Z)-5-Octen-2-one,Negative
(Z)-5-Octen-2-one,Negative
(Z)-5-Octen-2-one,Negative
(Z)-7-Tetradecenal,No data
(Z)-8-Dodecenol,Negative
(Z)-8-Dodecenyl Acetate,Negative
(Z)-8-Dodecenyl Acetate and Dodecan-1-yl Acetate mixture,Negative
(Z)-9-Dodecenyl Acetate,Negative
(Z)-9-Dodecenyl Acetate and Dodecan-1-yl Acetate,Negative
(Z)-9-Hexadecenal,No data
"(Z)-9-hexadecenal, (Z)-11-hexadecenal and (Z)-13-octadecenal mixture",No data
(Z)-9-Tetradecenyl Acetate,Negative
(Z)-Cycloheptadec-9-en-1-one,Not determined
(Z)-Hept-4-enal,Not determined
(Z)-Hex-3-enyl salicylate,Negative
(Z)-Hex-3-enyl salicylate,Negative
(Z)-Hex-3-enyl salicylate,Negative
(Z)-Hex-3-enyl salicylate,Negative
(Z)-Hex-3-enyl salicylate,Negative
(Z)-Nerol,Negative
(Z)-Nerol,Negative
(Z)-Nerol,Negative
(Z)-Nerol,Not determined
(Z)-Non-6-en-1-ol,Not determined
"(Z,Z)-Nona-3,6-dien-1-ol",Negative
"(Z,Z)-Nona-3,6-dien-1-ol",Not determined
"(Z,Z)-Nona-3,6-dien-1-ol",Negative
[(2-Ethyl-6-methylphenyl)(isopropoxymethyl)amino](oxo)acetic acid,Negative
[(6-Ethyl-3-hydroxy-2-methylphenyl)amino](oxo)acetic acid,Negative
[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino](oxo)acetic acid,Negative
"[2-(2,4-dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propoxy](difluoro)acetic acid",Negative
"[2-methyl-3,5-dinitro-4-(pentan-3-ylamino)phenyl]methanol (M455H025)",Negative
"[3-(2,3-epoxypropoxy) propyl]trimethoxy silane",Positive
[3-(Methacryloxy)propyl]trimethoxysilane,Negative
"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",Negative
"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",Negative
"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",Negative
"[R-(E)]-5-Isopropyl-8-methylnona-6,8-dien-2-one",Negative
"[S-(cis)]-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol",Negative
"[S-(cis)]-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol",Negative
"[S-(cis)]-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol",Negative
1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),Not determined
1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),Not determined
1- or 3-Hydroxy-5-methyl-2- or 3-hexanone (1-hydroxy-5-methyl-3-hexanone and 3-hydroxy-5-methyl-2-hexanone),Not determined
"1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1H-1,2,4-triazol-5(4H)-one",Negative
1-(2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl)-1Hpyrazole-5-sulfonic acid,Negative
1-(2-Anilino-6-methyl-4-pyrimidinyl)-2-propanol,Negative
1-(2-Furfurylthio)propanone,Not determined
1-(2-Furfurylthio)propanone,Not determined
1-(2-Furyl)butan-3-one,Not determined
1-(2-Furyl)butan-3-one,Ambiguous
1-(2-Furyl)butan-3-one,Positive
1-(2-Furyl)-propan-2-one,Not determined
1-(2-Furyl)-propan-2-one,Ambiguous
1-(2-Furyl)-propan-2-one,Positive
1-(2-hydroxyethyl)-3-(4-(trifluoromethoxy)phenyl)urea,Not determined
1-(2-Methylbutoxy)-1-isopentyloxyethane,Negative
1-(2-Methylbutoxy)-1-isopentyloxyethane,Negative
"1-(3,5-Dichlorophenyl)urea",Negative
"1-(3,5-Dimethoxy-4-hydroxyphenyl)propan-1-one",Not determined
"1-(3,5-Dimethoxy-4-hydroxyphenyl)propan-1-one",Not determined
1-(3-Hydroxy-5-methyl-2-thienyl)ethanone,Not determined
"1-(4,6-Dimethoxypyrimidin-2-yl)-1-[3-(trifluoromethyl)pyridin-2-yl]urea (DTPU)",Negative
"1-(4,6-Dimethoxypyrimidin-2-yl)urea (DMPU)",Not determined
1-(4-Hydroxy-3-methoxyphenyl)-3-decanone,Not determined
1-(4-Hydroxy-3-methoxyphenyl)-3-decanone,Not determined
1-(4-Hydroxy-6-methoxypyrimidin-2-yl)-1-[3-(trifluoromethyl)pyridin-2-yl]urea (HTPU),Not determined
1-(4-Methoxyphenyl)-4-methylpent-1-en-3-one,Ambiguous
1-(4-Methoxyphenyl)-4-methylpent-1-en-3-one,Positive
1-(4-Methoxyphenyl)pent-1-en-3-one,Ambiguous
1-(4-Methoxyphenyl)pent-1-en-3-one,Positive
"1(5),11-Guaiadiene",Not determined
"1(5),11-Guaiadiene",Not determined
"1(5),11-Guaiadiene",Not determined
"1(5),7(11)-Guaiadiene",Not determined
"1(5),7(11)-Guaiadiene",Not determined
"1(5),7(11)-Guaiadiene",Not determined
1-(Methylthio)ethane-1-thiol,Not determined
1-(Methylthio)ethane-1-thiol,Not determined
1-(Methylthio)ethane-1-thiol,Not determined
1-(Methylthio)ethane-1-thiol,Not determined
1-(Methylthio)ethane-1-thiol,Not determined
1-(Methylthio)ethane-1-thiol,Not determined
1-(Methylthio)pentan-3-one,Not determined
1-(Methylthio)pentan-3-one,Not determined
1-(Methylthio)pentan-3-one,Not determined
1-(Methylthio)pentan-3-one,Not determined
1-(Methylthio)pentan-3-one,Not determined
1-(Methylthio)pentan-3-one,Not determined
1-(p-Tolyl)ethan-1-ol,Not determined
"1,1'-(tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bisethanone",Not determined
"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane",Positive
"1,1,3,3-Tetramethylthiourea",Ambiguous
"1,1,3-Triethoxypropane",Negative
"1,1,3-Triethoxypropane",Negative
"1,1,3-Triethoxypropane",Not determined
"1,1,3-Triethoxypropane",Negative
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",Not determined
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",Not determined
"1,1,7-Trimethyltricyclo[2.2.1.0.(2.6)]heptane",Not determined
"1,10-Decanediamine",Negative
"1,1-bis(Ethylthio)-ethane",Not determined
"1,1-bis(Ethylthio)-ethane",Not determined
"1,1-bis(Ethylthio)-ethane",Not determined
"1,1-bis(Ethylthio)-ethane",Not determined
"1,1-bis(Ethylthio)-ethane",Not determined
"1,1-bis(Ethylthio)-ethane",Not determined
"1,1-Di-(2-methylbutoxy)ethane",Not determined
"1,1-Di-(2-methylbutoxy)ethane",Negative
"1,1-Di-(2-methylbutoxy)ethane",Negative
"1,1-Dichloro-2-(o-chlorophenyl)- 2-(p-chlorophenyl)ethane",Negative
"1,1-Dichloro-2,2-bis(p-chlorophenyl) ethylene",Ambiguous
"1,1-Dichloro-2,2-bis(p-chlorophenyl)ethane",Negative
"1,1-Diethoxy-2-methylbutane",Not determined
"1,1-Diethoxy-2-methylbutane",Negative
"1,1-Diethoxy-2-methylbutane",Negative
"1,1-Diethoxy-2-methylpropane",Not determined
"1,1-Diethoxy-2-methylpropane",Negative
"1,1-Diethoxy-2-methylpropane",Negative
"1,1-Diethoxy-3,7-dimethyloct-6-ene",Negative
"1,1-Diethoxy-3,7-dimethyloct-6-ene",Negative
"1,1-Diethoxy-3-methylbutane",Not determined
"1,1-Diethoxy-3-methylbutane",Negative
"1,1-Diethoxy-3-methylbutane",Negative
"1,1-Diethoxybutane",Not determined
"1,1-Diethoxybutane",Negative
"1,1-Diethoxybutane",Negative
"1,1-Diethoxydodecane",Not determined
"1,1-Diethoxydodecane",Negative
"1,1-Diethoxydodecane",Negative
"1,1-Diethoxyethane",Negative
"1,1-Diethoxyethane",Not determined
"1,1-Diethoxyethane",Negative
"1,1-Diethoxyhept-4-ene (cis and trans)",Negative
"1,1-Diethoxyhept-4-ene (cis and trans)",Not determined
"1,1-Diethoxyhept-4-ene (cis and trans)",Negative
"1,1-Diethoxyhex-2-ene",Ambiguous
"1,1-Diethoxyhex-2-ene",Negative
"1,1-Diethoxyhex-2-ene",Negative
"1,1-Diethoxyhex-3-ene",Negative
"1,1-Diethoxyhex-3-ene",Negative
"1,1-Diethoxynona-2,6-diene",Ambiguous
"1,1-Diethoxynona-2,6-diene",Negative
"1,1-Diethoxynona-2,6-diene",Negative
"1,1-Diethoxynonane",Not determined
"1,1-Diethoxynonane",Negative
"1,1-Diethoxynonane",Negative
"1,1-Diethoxyoctane",Not determined
"1,1-Diethoxyoctane",Negative
"1,1-Diethoxyoctane",Negative
"1,1-Diethoxypentane",Not determined
"1,1-Diethoxypentane",Negative
"1,1-Diethoxypentane",Negative
"1,1-Diethoxypropane",Not determined
"1,1-Diethoxypropane",Negative
"1,1-Diethoxypropane",Negative
"1,1-Diethoxyundecane",Not determined
"1,1-Diethoxyundecane",Negative
"1,1-Diethoxyundecane",Negative
"1,1-Dihexyloxyethane",Not determined
"1,1-Dihexyloxyethane",Negative
"1,1-Dihexyloxyethane",Negative
"1,1-Di-isobutoxy-2-methylpropane",Not determined
"1,1-Di-isobutoxy-2-methylpropane",Negative
"1,1-Di-isobutoxy-2-methylpropane",Negative
"1,1-Di-isobutoxy-2-phenylethane",Not determined
"1,1-Di-isobutoxy-2-phenylethane",Not determined
"1,1-Di-isobutoxy-3-methylbutane",Negative
"1,1-Di-isobutoxy-3-methylbutane",Negative
"1,1-Di-isobutoxyethane",Not determined
"1,1-Di-isobutoxyethane",Negative
"1,1-Di-isobutoxyethane",Negative
"1,1-Di-isobutoxypentane",Not determined
"1,1-Di-isobutoxypentane",Negative
"1,1-Di-isobutoxypentane",Negative
"1,1-Di-isobutoxypropane",Not determined
"1,1-Di-isobutoxypropane",Negative
"1,1-Di-isobutoxypropane",Negative
"1,1-Di-isopentyloxyethane",Not determined
"1,1-Di-isopentyloxyethane",Negative
"1,1-Di-isopentyloxyethane",Negative
"1,1-Dimethoxy-2-phenylethane",Not determined
"1,1-Dimethoxy-2-phenylethane",Not determined
"1,1-Dimethoxy-2-phenylpropane",Negative
"1,1-Dimethoxydecane",Negative
"1,1-Dimethoxydecane",Not determined
"1,1-Dimethoxydecane",Negative
"1,1-Dimethoxyethane",Negative
"1,1-Dimethoxyethane",Not determined
"1,1-Dimethoxyethane",Negative
"1,1-Dimethoxyheptane",Negative
"1,1-Dimethoxyheptane",Not determined
"1,1-Dimethoxyheptane",Negative
"1,1-Dimethoxyhex-2(trans)-ene",Ambiguous
"1,1-Dimethoxyhex-2(trans)-ene",Negative
"1,1-Dimethoxyhex-2(trans)-ene",Negative
"1,1-Dimethoxyhexane",Not determined
"1,1-Dimethoxyhexane",Negative
"1,1-Dimethoxyhexane",Negative
"1,1-Dimethoxyoctane",Negative
"1,1-Dimethoxyoctane",Not determined
